Tibetan,English
གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ། །མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ། །རིན་ཆེན་རིང་ཐང་མེད་པར་བསྒྱུར་བས་ན། །བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུང་། །,"tags:<br><br><t><br>Like the supreme form of the alchemical elixir,<br>Taking this impure body and transforming it into the Buddha's form,<br>Transmuting it into a priceless jewel,<br>Hold firmly to what is called the mind of enlightenment."
འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས། །ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས། །,"When thoroughly examined by the immeasurable intellect,<br>The sole guide of beings is found to be precious."
འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས། །རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་། །,"Those who wish to be free from the realms of beings,<br>Hold firmly to the precious bodhicitta."
དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི། །འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད། །,"All other virtuous deeds are like water trees;<br>After bearing fruit, they are exhausted and come to an end."
བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་། །འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར། །,"The tree of bodhicitta (the awakened mind) is ever-growing,<br>Constantly bearing fruit, it increases inexhaustibly."
སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་། །དཔའ་ལ་བརྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར། །གང་ལ་བརྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ། །དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན། །,"Even if one has committed utterly unbearable misdeeds,<br>By relying on the brave, as in great fear,<br>One who swiftly liberates by relying on that,<br>Why would the conscientious not rely on this?"
དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས། །སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད། །,"Like the fire at the end of time,<br>It surely burns away great sins<br>In a single instant."
དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག །བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟང་བཤད། །,"The immeasurable benefits of that<br>Were explained by the loving protector Norbulingka, endowed with wisdom."
བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན། །རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ། །,"In brief, the mind of enlightenment<br>Should be understood as having two aspects."
བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི། །བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ། །,The aspiring mind of enlightenment<br>And the engaging mind of enlightenment itself.
འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི། །བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར། །དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ། །,"Just as one understands the difference<br>Between wanting to go and actually going,<br>In the same way, the wise should understand<br>The distinction between these two in sequence."
བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི། །འཁོར་ཚེ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་། །ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ། །བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན། །,"From the mind that aspires to enlightenment,<br>Great fruits arise while in samsara.<br>However, unlike the mind of actual engagement,<br>It does not produce a continuous stream of merit."
གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས། །མཐའ་ཡས་རབ་ཏུ་དགྲོལ་བའི་ཕྱིར། །མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ། །སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ། །དེང་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ། །བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས། །རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག །ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་། །,"From the moment one genuinely generates the irreversible mind<br>To liberate the infinite realms of sentient beings,<br>Even while sleeping or being heedless from that time onward,<br>A force of merit, unceasing and manifold,<br>Arises constantly, equal to space itself."
འདི་ནི་འཐད་པ་དང་བཅས་པར། །ལག་བཟང་གིས་ནི་ཞུས་པ་ལས། །དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས། །,"This was requested with reasoning<br>By Subāhu (Good Arm) through inquiry.<br>For the benefit of beings of lesser inclination,<br>The Tathagata himself spoke thus."
སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ། །བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་། །ཕན་འདོགས་བསམ་པ་དང་ལྡན་དེ། །བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན། །སེམས་ཅན་རེ་རེའི་མི་བདེ་བ། །དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་། །རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ། །བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས། །,"Even if one merely thinks of removing<br>The mental afflictions of sentient beings,<br>Such a beneficent intention<br>Is endowed with immeasurable merit.<br><br>What need is there to mention then<br>The wish to remove the countless sufferings<br>Of each and every sentient being,<br>And to establish each in boundless good qualities?"
ཕའམ་ཡང་ན་མ་ཡང་རུང་། །སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད། །,"Whether father or mother, who has such benevolent thoughts as these?"
ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་། །ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ། །,"Even among gods and sages,<br>Does this exist even for Brahma?"
སེམས་ཅན་དེ་དག་ཉིད་ལ་སྔོན། །རང་གི་དོན་དུ་འདི་འདྲའི་སེམས། །རྨི་ལམ་དུ་ཡང་མ་རྨིས་ན། །གཞན་གྱི་དོན་དུ་ག་ལ་སྐྱེ། །,"These sentient beings themselves,<br>Even in dreams have never before<br>Conceived such a thought for their own sake.<br>How then could it arise for the sake of others?"
གཞན་དག་རང་གི་དོན་དུ་ཡང་། །མི་འབྱུང་སེམས་ཅན་དོན་སེམས་གང་། །སེམས་ཀྱི་རིན་ཆེན་ཁྱད་པར་འདི། །སྔ་ན་མེད་པའི་རྨད་ཅིག་འཁྲུངས། །,"Others do not even arise for their own sake,<br>Yet this one thinks of the welfare of beings.<br>This special jewel of the mind,<br>An unprecedented marvel has arisen."
འགྲོ་བ་ཀུན་གྱི་དགའ་བའི་རྒྱུ། །སེམས་ཅན་སྡུག་བསྔལ་རྩིར་གྱུར་པ། །རིན་ཆེན་སེམས་ཀྱི་བསོད་ནམས་གང་། །དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་། །,"The cause of joy for all beings,<br>The elixir for the suffering of sentient creatures,<br>The merit of the precious mind -<br>How can it ever be measured?"
ཕན་པར་བསམས་པ་ཙམ་གྱིས་ཀྱང་། །སངས་རྒྱས་མཆོད་ལས་ཁྱད་འཕགས་ན། །སེམས་ཅན་མ་ལུས་ཐམས་ཅད་ཀྱི། །བདེ་དོན་བརྩོན་པ་སྨོས་ཅི་དགོས། །,"Even by merely thinking of benefiting others,<br>One surpasses the merit of worshipping Buddhas.<br>What need is there to mention<br>Striving for the welfare and happiness of all sentient beings without exception?"
སྡུག་བསྔལ་འདོར་འདོད་སེམས་ཡོད་ཀྱང་། །སྡུག་བསྔལ་ཉིད་ལ་མངོན་པར་རྒྱུག །,"Although one wishes to abandon suffering,<br>One rushes headlong into suffering itself."
བདེ་བ་འདོད་ཀྱང་གཏི་མུག་པས། །རང་གི་བདེ་བ་དགྲ་ལྟར་འཇོམས། །,"Though desiring happiness, due to ignorance,<br>One destroys one's own happiness as if it were an enemy."
གང་ཞིག་བདེ་བས་ཕོངས་པ་དང་། །སྡུག་བསྔལ་མང་ལྡན་དེ་དག་ལ། །བདེ་བ་ཀུན་གྱིས་ཚིམ་པ་དང་། །སྡུག་བསྔལ་ཐམས་ཅད་གཅོད་བྱེད་ཅིང་། །གཏི་མུག་ཀྱང་ནི་སེལ་བྱེད་པ། །དེ་དང་དགེ་མཚུངས་ག་ལ་ཡོད། །,"For those who lack happiness<br>And are filled with much suffering,<br>May they be satisfied with all joys<br>And be freed from all sufferings.<br>May their ignorance also be dispelled.<br>What virtue could equal this?"
དེ་འདྲའི་བཤེས་ཀྱང་ག་ལ་ཡོད། །,Where can such a friend be found?
བསོད་ནམས་དེ་འདྲའང་ག་ལ་ཡོད། །,How could there be such merit?
ཕན་བཏགས་ལན་ལྡོན་གང་ཡིན་པ། །དེ་ཡང་རེ་ཞིག་བསྔགས་འོས་ན། །མ་བཅོལ་ལེགས་པར་བྱེད་པ་ཡི། །བྱང་ཆུབ་སེམས་དཔའ་སྨོས་ཅི་དགོས། །,"Those who repay kindness are worthy of praise for a time,<br>But what need is there to speak of bodhisattvas,<br>Who do good without being asked?"
འགྲོ་བ་ཉུང་ཟད་ནར་མའི་ཟས་སྦྱོར་བ། །སྐད་ཅིག་ཟས་ཙམ་སྦྱིན་པར་བྱེད་པ་དང་། །བརྙས་བཅས་ཉིན་ཕྱེད་འགྲངས་པར་བྱེད་པ་ཡང་། །དགེ་བ་བྱེད་པ་ཡིན་ཞེས་སྐྱེ་བོས་བཀུར། །,"Even those who prepare a small amount of ordinary food,<br>Those who give just a moment's worth of food,<br>And those who feed others to fullness for half a day, albeit with contempt,<br>Are honored by people as doers of virtue."
སེམས་ཅན་གྲངས་མཐའ་ཡས་ལ་དུས་རིང་དུ། །བདེ་བར་གཤེགས་ཀྱི་བདེ་བ་བླ་ན་མེད། །ཡིད་ལ་བསམ་པ་མཐའ་དག་རྫོགས་བྱེད་པ། །རྟག་ཏུ་སྦྱིན་པ་ལྟ་ཞིག་སྨོས་ཅི་དགོས། །,"For countless sentient beings, over a long time,<br>The unsurpassed bliss of the Sugatas (Buddhas),<br>Fulfilling all wishes in their minds,<br>Is constantly given - what need is there to mention mere giving?"
གང་ཞིག་དེ་འདྲའི་རྒྱལ་སྲས་སྦྱིན་བདག་ལ། །གལ་ཏེ་ངན་སེམས་སྐྱེད་པར་བྱེད་ན་དེ། །ངན་སེམས་བསྐྱེད་པའི་གྲངས་བཞིན་བསྐལ་པར་ནི། །དམྱལ་བར་གནས་པར་འགྱུར་ཞེས་ཐུབ་པས་གསུངས། །,"Whoever harbors ill will towards such a bodhisattva benefactor,<br>For as many moments as they generate malicious thoughts,<br>They will remain in hell for that many eons -<br>Thus spoke the Sage (Buddha)."
འོན་ཏེ་གང་ཞིག་ཡིད་རབ་དང་བྱེད་ན། །དེ་ཡི་འབྲས་བུ་དེ་བས་ལྷག་པར་འཕེལ། །,"However, if one purifies the mind with sincere devotion,<br>The fruits of that will increase even more abundantly."
རྒྱལ་སྲས་རྣམས་ལ་དོ་གལ་ཆེན་པོས་ཀྱང་། །སྡིག་པ་མི་འབྱུང་དགེ་བ་ངང་གིས་འཕེལ། །,"Even with great urgency, the bodhisattvas<br>Do not commit negative actions; virtuous deeds naturally increase."
གང་ལ་སེམས་ཀྱི་དམ་པ་རིན་ཆེན་དེ། །སྐྱེས་པ་དེ་ཡི་སྐུ་ལ་ཕྱག་འཚལ་ཞིང་། །,I bow down to the body of the one<br>In whom the supreme precious mind has arisen.
གང་ལ་གནོད་པ་བྱས་ཀྱང་བདེ་འབྲེལ་བ། །བདེ་བའི་འབྱུང་གནས་དེ་ལ་སྐྱབས་སུ་མཆི། །,"To that which brings happiness even when harmed,<br>To that source of bliss, I go for refuge."
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས་བྱང་ཆུབ་སེམས་ཀྱི་ཕན་ཡོན་བཤད་པ་ཞེས་བྱ་བ་སྟེ་ལེའུ་དང་པོའོ།། །།,"tags:<br><br><t><br>From ""Entering the Conduct of the Bodhisattvas,"" this is the first chapter called ""Explaining the Benefits of the Bodhicitta Mind."""
རིན་ཆེན་སེམས་དེ་གཟུང་བར་བྱ་བའི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་རྣམས་དང་དམ་པའི་ཆོས། །དཀོན་མཆོག་དྲི་མ་མེད་དང་སངས་རྒྱས་སྲས། །ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་ལེགས་པར་མཆོད། །,"In order to grasp that precious mind,<br>I make excellent offerings to:<br>The Thus-Gone Ones and the holy Dharma,<br>The stainless Triple Gem and the children of the Buddhas,<br>And the oceans of good qualities."
མེ་ཏོག་འབྲས་བུ་ཇི་སྙེད་ཡོད་པ་དང་། །སྨན་གྱི་རྣམ་པ་གང་དག་ཡོད་པ་དང་། །འཇིག་རྟེན་རིན་ཆེན་ཇི་སྙེད་ཡོད་པ་དང་། །ཆུ་གཙང་ཡིད་དུ་འོང་བ་ཅི་ཡོད་དང་། །རིན་ཆེན་རི་བོ་དང་ནི་དེ་བཞིན་དུ། །ནགས་ཚལ་ས་ཕྱོགས་དབེན་ཞིང་ཉམས་དགའ་དང་། །ལྗོན་ཤིང་མེ་ཏོག་རྒྱན་སྤྲས་སྤུད་པ་དང་། །ཤིང་གང་འབྲས་བཟང་ཡལ་ག་དུད་པ་དང་། །ལྷ་སོགས་འཇིག་རྟེན་ན་ཡང་དྲི་དང་ནི། །སྤོས་དང་དཔག་བསམ་ཤིང་དང་རིན་ཆེན་ཤིང་། །མ་རྨོས་འཁྲུངས་པའི་ལོ་ཏོག་རྣམ་པ་དང་། །གཞན་ཡང་མཆོད་པར་འོས་པའི་རྒྱན་རྣམས་ནི། །མཚོ་དང་རྫིང་བུ་པདྨས་བརྒྱན་པ་དག །ངང་པ་ཤིན་ཏུ་སྐད་སྙན་ཡིད་འོང་ལྡན། །ནམ་མཁའ་རབ་འབྱམས་ཁམས་ཀྱི་མཐས་གཏུགས་པ། །ཡོངས་སུ་གཟུང་བ་མེད་པ་དེ་དག་ཀུན། །བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས། །བདག་ལ་བརྩེར་དགོངས་,"Whatever flowers and fruits there may be,<br>And whatever kinds of medicines exist,<br>Whatever precious things there are in the world,<br>And whatever pure and pleasing waters there are,<br><br>Precious mountains, and likewise,<br>Secluded and delightful forest spots,<br>Trees adorned with ornaments of flowers,<br>And trees with good fruit and bowing branches,<br><br>Fragrances and incenses in the worlds of gods and others,<br>Wish-fulfilling trees and precious trees,<br>Crops that grow without cultivation,<br>And other ornaments worthy of offering,<br><br>Lakes and ponds adorned with lotuses,<br>With swans of very melodious and pleasing calls,<br>The vast expanse of space extending to the limits of all realms,<br>All these things that cannot be grasped,<br><br>Having mentally taken hold of them, I excellently offer<br>To the supreme sage, the Buddha, and his sons.<br>May the holy recipients, those of great compassion,<br>Think of me with love."
བདག་གི་འདི་དག་བཞེས། །,Please accept these offerings of mine.
བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །,"I am one with little merit, a great pauper."
མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །,I have no other wealth of offerings.
དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,"Therefore, O Protector who contemplates the welfare of others,<br>Please accept this through your own power for my sake."
རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི། །བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི། །,I offer my entire body eternally<br>To the Victorious Ones and their heirs.
སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག །,"Supreme bodhisattvas, please accept me completely."
གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི། །,"With reverence, I come to be your servant/follower."
བདག་ནི་ཁྱེད་ཀྱིས་ཡོངས་སུ་བཟུང་བས་ན། །སྲིད་ན་མི་འཇིགས་,"Since I am completely embraced by you, I have no fear in existence."
སེམས་ཅན་ཕན་པ་བགྱིད། །,Benefit sentient beings.
སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང་། །སྡིག་པ་གཞན་ཡང་སླན་ཆད་མི་བགྱིད་དོ། །,"I will truly transcend past negative actions,<br>And henceforth commit no further misdeeds."
ཁྲུས་ཀྱི་ཁང་པ་ཤིན་ཏུ་དྲི་ཞིམ་པ། །ཤེལ་གྱི་ས་གཞི་གསལ་ཞིང་འཚེར་བ་བསྟར། །རིན་ཆེན་འབར་བའི་ཀ་བ་ཡིད་འོང་ལྡན། །མུ་ཏིག་འོད་ཆགས་བླ་རེ་བྲེས་པ་དེར། །དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ། །རིན་ཆེན་བུམ་པ་མང་པོ་སྤོས་ཀྱི་ཆུ། །ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི། །རོལ་མོར་བཅས་པ་དུ་མས་སྐུ་ཁྲུས་གསོལ། །,"tags:<br><br><t><br>The bathing chamber is filled with sweet fragrance,<br>Crystal floors laid out, clear and sparkling.<br>Adorned with lovely pillars of blazing jewels,<br>And canopies shimmering with pearls' light.<br><br>There, for the Tathagatas and their spiritual heirs,<br>Many precious vases filled with scented water,<br>Delightful and well-prepared, with songs and<br>Various musical instruments, offer the sacred bath."
དེ་དག་སྐུ་ལ་མཚུངས་པ་མེད་པའི་གོས། །གཙང་ལ་དྲི་རབ་བསྒོས་པས་སྐུ་ཕྱིའོ། །,Their bodies are clothed in incomparable garments;<br>They wipe their pure bodies with supremely fragrant substances.
དེ་ནས་དེ་ལ་ཁ་དོག་ལེགས་བསྒྱུར་བའི། །ན་བཟའ་ཤིན་ཏུ་དྲི་ཞིམ་དམ་པ་འབུལ། །,"Then, to that one, offer excellent robes<br>Of beautifully transformed colors,<br>Supreme and very fragrant."
གོས་བཟང་སྲབ་ལ་འཇམ་པ་སྣ་ཚོགས་དང་། །རྒྱན་མཆོག་བརྒྱ་ཕྲག་དེ་དང་དེ་དག་གིས། །འཕགས་པ་ཀུན་ཏུ་བཟང་དང་འཇམ་དབྱངས་དང་། །འཇིག་རྟེན་དབང་ཕྱུག་སོགས་ལའང་བརྒྱན་པར་བགྱི། །,"tags:<br><br><t><br>With various fine, soft, and delicate garments,<br>And hundreds of excellent ornaments of all kinds,<br>I adorn Samantabhadra, Manjushri,<br>Avalokiteshvara, and other noble ones."
སྟོང་གསུམ་ཀུན་ཏུ་དྲི་ངད་ལྡང་བ་ཡི། །དྲི་མཆོག་རྣམས་ཀྱིས་ཐུབ་དབང་ཀུན་གྱི་སྐུ། །གསེར་སྦྱངས་བཙོ་མ་བྱི་དོར་བྱས་པ་ལྟར། །འོད་ཆགས་འབར་བ་དེ་དག་བྱུག་པར་བགྱི། །,"tags:<br><br><t><br>With the finest fragrances that spread their scent<br>Throughout the three thousand worlds,<br>I anoint the bodies of all the Mighty Sages,<br>Gleaming and radiant like pure refined gold."
ཐུབ་དབང་མཆོད་གནས་མཆོག་ལ་ཡིད་འོང་བའི། །མེ་ཏོག་མནྡ་ར་དང་པདྨ་དང་། །ཨུཏྤལ་ལ་སོགས་དྲི་ཞིམ་ཐམས་ཅད་དང་། །ཕྲེང་བ་སྤེལ་ལེགས་ཡིད་འོང་རྣམས་ཀྱིས་མཆོད། །,"To the supreme object of worship, the mighty sage,<br>I offer pleasing flowers - mandarava and lotus,<br>Utpala and all other fragrant blooms,<br>Along with beautiful, delightful garlands."
སྤོས་མཆོག་ཡིད་འཕྲོག་དྲི་ངད་ཁྱབ་པ་ཡི། །བདུག་པའི་སྤྲིན་ཚོགས་རྣམས་ཀྱང་དེ་ལ་དབུལ། །,"I offer to them also clouds of incense,<br>Whose supreme fragrance pervades and captivates the mind."
ཞལ་ཟས་བཟའ་བཏུང་སྣ་ཚོགས་བཅས་པ་ཡི། །ལྷ་བཤོས་རྣམས་ཀྱང་དེ་ལ་དབུལ་བར་བགྱི། །,"Various foods and drinks, along with divine offerings,<br>I shall also present to them."
གསེར་གྱི་པདྨ་ཚར་དུ་དངར་བ་ཡི། །རིན་ཆེན་སྒྲོན་མ་རྣམས་ཀྱང་དབུལ་བར་བགྱི། །,I offer precious lamps<br>Like golden lotuses in full bloom.
ས་གཞི་བསྟར་བ་སྤོས་ཀྱིས་བྱུགས་པ་དེར། །མེ་ཏོག་ཡིད་འོང་སིལ་མ་དགྲམ་པར་བྱ། །,"On the ground spread out and anointed with incense,<br>Let beautiful, pleasing flowers be scattered."
གཞལ་མེད་ཕོ་བྲང་བསྟོད་དབྱངས་ཡིད་འོང་ལྡན། །མུ་ཏིག་རིན་ཆེན་རྒྱན་འཕྱང་མཛེས་འབར་བ། །དཔག་ཡས་ནམ་མཁའི་རྒྱན་གྱུར་དེ་དག་ཀྱང་། །ཐུགས་རྗེའི་རང་བཞིན་ཅན་ལ་དབུལ་བར་བགྱི། །,"tags:<br><br><t><br>In the immeasurable palace resounding with melodious praise,<br>Adorned with dangling pearl and jewel ornaments blazing beautifully,<br>Those boundless sky-decorations too,<br>I offer to the one of compassionate nature."
